5_1_F,5_1_D,7_1_F,7_1_D,8_1_F,8_1_D,10_1_F,10_1_D,9_1_F,9_1_D,9_2_F,9_2_D,24_1_F,24_1_D,1_1_F,1_1_D,1_2_F,1_2_D,2_1_F,2_1_D,20_1_F,20_1_D,19_1_F,19_1_D
-0.07597605,0.0,-0.01621246,-0.000125,-0.02543131,0.0,-0.01525879,-0.000125,-0.01239777,0.0,0.008265178,-0.000125,0.2044042,0.0,0.001589457,0.0,-0.05054474,-0.000125,-0.01875559,0.0,-0.01939138,0.0,-0.1049042,-0.000125
-0.07883707,0.0,-0.0184377,-0.000125,-0.02098083,0.0,-0.01398722,-0.000125,-0.01366933,0.0,0.00667572,-0.000125,0.2063115,0.0,-0.0009536743,0.0,-0.05086263,-0.000125,-0.01939138,0.0,-0.01716614,0.0,-0.1026789,-0.000125
-0.07947286,0.0,-0.0184377,-0.000125,-0.01335144,0.0,-0.01239777,-0.000125,-0.01621246,0.0,0.00445048,-0.000125,0.2091726,0.0,-0.0003178914,0.0,-0.05118052,-0.000125,-0.02161662,0.000125,-0.01684825,0.00025,-0.102361,0.0
-0.07565816,0.000125,-0.01335144,0.000875,-0.005086263,0.001,-0.00445048,0.000875,-0.01430511,0.0005,0.006993612,0.00125,0.2164841,0.001625,0.008265178,0.000875,-0.04704793,0.001375,-0.02574921,0.0015,-0.0184377,0.001125,-0.1045863,0.001625
-0.03083547,0.002,0.04259745,0.003125,0.05054474,0.003625,0.05531311,0.0035,0.04641215,0.00325,0.06548563,0.0035,0.2775192,0.003625,0.04863739,0.002875,-0.00222524,0.00375,-0.01939138,0.00375,-0.008583069,0.004125,-0.1004537,0.003625
0.1678467,0.00525,0.2673467,0.005,0.2749761,0.004875,0.2797445,0.004875,0.2857844,0.005125,0.2851486,0.00475,0.5041758,0.00475,0.1614888,0.005125,0.146548,0.00475,0.01271566,0.005,0.0298818,0.004625,-0.07661184,0.004625
0.5464554,0.0065,0.6790161,0.006,0.6806056,0.006,0.6767909,0.00575,0.7079442,0.006,0.6631215,0.005875,0.8904139,0.00625,0.3255208,0.006375,0.377655,0.006,0.0667572,0.00625,0.09473165,0.006625,-0.02098083,0.006125
0.8939107,0.007375001,1.055082,0.008125001,1.043638,0.00825,1.029333,0.00825,1.093229,0.007875,0.9975433,0.008875,1.219114,0.009125001,0.4606247,0.008,0.5693436,0.008875,0.1271566,0.008875,0.1659393,0.009000001,0.06453196,0.009125001
1.035055,0.010125,1.220385,0.011125,1.20163,0.01175,1.187007,0.01175,1.28746,0.011625,1.159986,0.011625,1.362801,0.01175,0.5429586,0.010875,0.6717046,0.011875,0.1846949,0.012,0.2291997,0.0115,0.1576741,0.01175
1.045227,0.014,1.251856,0.01375,1.234055,0.013625,1.226107,0.0135,1.362483,0.01375,1.221657,0.013125,1.40667,0.01325,0.6008148,0.013875,0.7305145,0.01325,0.2352397,0.013625,0.2841949,0.013875,0.2377828,0.01325
1.042048,0.016,1.263301,0.0155,1.245817,0.01525,1.245499,0.015125,1.413345,0.01525,1.266162,0.015625,1.437187,0.016125,0.6513596,0.01575,0.7842382,0.0155,0.2832413,0.015875,0.336647,0.015875,0.3061295,0.01575
1.051585,0.017375,1.280467,0.018125,1.262029,0.018875,1.268069,0.018875,1.466115,0.01875,1.315753,0.019375,1.468341,0.01975,0.7009506,0.018125,0.8430481,0.01975,0.3296534,0.019625,0.3900528,0.01925,0.3668467,0.019875
1.058578,0.021125,1.295408,0.022125,1.28142,0.022375,1.292229,0.022375,1.517296,0.0225,1.368523,0.021875,1.502355,0.021875,0.7537206,0.022,0.9012222,0.02225,0.3687541,0.022625,0.4405975,0.022,0.4148483,0.02225
1.059214,0.025125,1.306852,0.024625,1.301765,0.024375,1.318296,0.024125,1.561483,0.0245,1.417796,0.024125,1.54082,0.024375,0.8042653,0.024875,0.9511312,0.024,0.3973643,0.024375,0.4844666,0.025125,0.4504522,0.024125
1.063665,0.02725,1.319885,0.02675,1.323382,0.027,1.34627,0.027,1.59963,0.027125,1.463572,0.027875,1.578649,0.028125,0.846227,0.027,0.9978612,0.027875,0.4205704,0.027875,0.5229314,0.02725,0.4838308,0.02825
